,location,Name,rate_art,rate_number,drop_rate_percentage,change_rate_percentage,Alpha-2 code,Alpha-3 code,id,Latitude (average),Longitude (average),total_cases_per_million,continent,drop_rate_nom,change_rate_nom
0,Argentina,^MERV,change_rate,0.231941518,-40.98%,23.19%,AR,ARG,32,-34,-64,0.022,South America,0.409848032,0.231941518
6,China,399001.SZ,change_rate,0.218541112,-10.82%,21.85%,CN,CHN,156,35,105,0.019,Asia,0.108204217,0.218541112
39,Taiwan,^TWII,change_rate,0.098689134,-26.17%,9.87%,TW,TWN,158,23.5,121,0.042,Asia,0.261717996,0.098689134
35,South Korea,^KS11,change_rate,0.076974531,-34.05%,7.70%,KR,KOR,410,37,127.5,0.02,Asia,0.340535865,0.076974531
25,New Zealand,^NZ50,change_rate,0.046955902,-23.15%,4.70%,NZ,NZL,554,-41,174,0.207,Oceania,0.231492655,0.046955902
46,Vietnam,FVTT.FGI,change_rate,0.036016904,-20.23%,3.60%,VN,VNM,704,16,106,0.021,Asia,0.202297777,0.036016904
14,Iceland,^OMXI10,change_rate,0.033957785,-22.73%,3.40%,IS,ISL,352,65,-18,2.93,Europe,0.227269966,0.033957785
44,United States,^GSPC,change_rate,0.030276279,-28.85%,3.03%,US,USA,840,38,-97,0.003,North America,0.288457404,0.030276279
19,Japan,^N225,change_rate,0.009659167,-29.26%,0.97%,JP,JPN,392,36,138,0.008,Asia,0.292635236,0.009659167
42,Turkey,XU100.IS,change_rate,-0.002240008,-28.53%,-0.22%,TR,TUR,792,39,35,0.012,Asia,0.285252861,0.002240008
22,Malaysia,^KLSE,change_rate,-0.007111406,-20.50%,-0.71%,MY,MYS,458,2.5,112.5,0.093,Asia,0.204959102,0.007111406
15,India,^BSESN,change_rate,-0.012783721,-31.54%,-1.28%,IN,IND,356,20,77,0.001,Asia,0.315436186,0.012783721
37,Sweden,^OMX,change_rate,-0.031274366,-27.35%,-3.13%,SE,SWE,752,62,15,0.099,Europe,0.273486047,0.031274366
30,Qatar,WIQAT.FGI,change_rate,-0.036576924,-9.88%,-3.66%,QA,QAT,634,25.5,51.25,0.347,Asia,0.098843283,0.036576924
21,Kuwait,^DJIMKW,change_rate,-0.048566734,-27.23%,-4.86%,KW,KWT,414,29.3375,47.6581,0.702,Asia,0.27229453,0.048566734
11,Germany,^GDAXI,change_rate,-0.055184599,-37.56%,-5.52%,DE,DEU,276,51,9,0.012,Europe,0.375558076,0.055184599
4,Canada,^GSPTSE,change_rate,-0.082006536,-32.10%,-8.20%,CA,CAN,124,60,-95,0.026,North America,0.321047244,0.082006536
31,Russia,IMOEX.ME,change_rate,-0.082993795,-26.93%,-8.30%,RU,RUS,643,60,100,0.014,Europe,0.269337372,0.082993795
13,Hong Kong,^HSI,change_rate,-0.108068454,-21.50%,-10.81%,HK,HKG,344,22.25,114.1667,0.019,Asia,0.215024603,0.108068454
34,South Africa,^JN0U.JO,change_rate,-0.110185789,-43.37%,-11.02%,ZA,ZAF,710,-29,24,0.017,Africa,0.433707688,0.110185789
16,Indonesia,^JKSE,change_rate,-0.126955376,-30.75%,-12.70%,ID,IDN,360,-5,120,0.007,Asia,0.30754485,0.126955376
1,Australia,^AXJO,change_rate,-0.135123014,-33.06%,-13.51%,AU,AUS,36,-27,133,0.039,Oceania,0.330557367,0.135123014
8,Croatia,CRE.VI,change_rate,-0.140302073,-27.59%,-14.03%,HR,HRV,191,45.1667,15.5,0.244,Europe,0.275934373,0.140302073
24,Morocco,^NQMAEUR,change_rate,-0.147041843,-24.42%,-14.70%,MA,MAR,504,32,-5,0.027,Africa,0.244218907,0.147041843
3,Brazil,^BVSP,change_rate,-0.147479359,-41.35%,-14.75%,BR,BRA,76,-10,-55,0.005,South America,0.413549838,0.147479359
23,Mexico,^MXX,change_rate,-0.153130324,-21.73%,-15.31%,MX,MEX,484,23,-102,0.008,North America,0.217317263,0.153130324
38,Switzerland,^STOXX50E,change_rate,-0.153136442,-36.51%,-15.31%,CH,CHE,756,47,8,0.116,Europe,0.365079991,0.153136442
17,Israel,^TA125.TA,change_rate,-0.155143256,-30.59%,-15.51%,IL,ISR,376,31.5,34.75,0.116,Asia,0.305932062,0.155143256
10,France,^FCHI,change_rate,-0.191381787,-36.91%,-19.14%,FR,FRA,250,46,2,0.046,Europe,0.36911333,0.191381787
2,Belgium,^BFX,change_rate,-0.198851945,-36.32%,-19.89%,BE,BEL,56,50.8333,4,0.086,Europe,0.363166322,0.198851945
43,United Kingdom,^FTSE,change_rate,-0.204090104,-30.92%,-20.41%,GB,GBR,826,54,-2,0.029,Europe,0.309159166,0.204090104
33,Singapore,^STI,change_rate,-0.204785087,-28.09%,-20.48%,SG,SGP,702,1.3667,103.8,0.513,Asia,0.280893414,0.204785087
28,Philippines,WIPHL.FGI,change_rate,-0.206050721,-37.33%,-20.61%,PH,PHL,608,13,122,0.009,Asia,0.373257112,0.206050721
29,Portugal,PSI20.LS,change_rate,-0.208900172,-33.85%,-20.89%,PT,PRT,620,39.5,-8,0.196,Europe,0.338451208,0.208900172
41,Thailand,WITHA.FGI,change_rate,-0.215361588,-30.17%,-21.54%,TH,THA,764,15,100,0.014,Asia,0.301661583,0.215361588
26,Pakistan,WIPAK.FGI,change_rate,-0.215823581,-33.99%,-21.58%,PK,PAK,586,30,70,0.009,Asia,0.339853301,0.215823581
5,Chile,WICHL.FGI,change_rate,-0.216055743,-36.04%,-21.61%,CL,CHL,152,-30,-71,0.052,South America,0.360447635,0.216055743
27,Peru,WIPER.FGI,change_rate,-0.240963388,-33.49%,-24.10%,PE,PER,604,-10,-76,0.03,South America,0.334876893,0.240963388
18,Italy,WIITA.FGI,change_rate,-0.250736594,-38.44%,-25.07%,IT,ITA,380,42.8333,12.8333,0.05,Europe,0.384354744,0.250736594
9,Czech Republic,WICZH.FGI,change_rate,-0.267960217,-33.55%,-26.80%,CZ,CZE,203,49.75,15.5,0.28,Europe,0.335538584,0.267960217
36,Spain,WIESP.FGI,change_rate,-0.314644719,-35.86%,-31.46%,ES,ESP,724,40,-4,0.021,Europe,0.358584034,0.314644719
12,Greece,WIGRC.FGI,change_rate,-0.404761905,-45.89%,-40.48%,GR,GRC,300,39,22,0.096,Europe,0.458874459,0.404761905
7,Colombia,WICOL.FGI,change_rate,-0.452718711,-60.75%,-45.27%,CO,COL,170,4,-72,0.02,South America,0.607534206,0.452718711
0,Argentina,^MERV,drop_rate,-0.409848032,-40.98%,23.19%,AR,ARG,32,-34,-64,0.022,South America,0.409848032,0.231941518
6,China,399001.SZ,drop_rate,-0.108204217,-10.82%,21.85%,CN,CHN,156,35,105,0.019,Asia,0.108204217,0.218541112
39,Taiwan,^TWII,drop_rate,-0.261717996,-26.17%,9.87%,TW,TWN,158,23.5,121,0.042,Asia,0.261717996,0.098689134
35,South Korea,^KS11,drop_rate,-0.340535865,-34.05%,7.70%,KR,KOR,410,37,127.5,0.02,Asia,0.340535865,0.076974531
25,New Zealand,^NZ50,drop_rate,-0.231492655,-23.15%,4.70%,NZ,NZL,554,-41,174,0.207,Oceania,0.231492655,0.046955902
46,Vietnam,FVTT.FGI,drop_rate,-0.202297777,-20.23%,3.60%,VN,VNM,704,16,106,0.021,Asia,0.202297777,0.036016904
14,Iceland,^OMXI10,drop_rate,-0.227269966,-22.73%,3.40%,IS,ISL,352,65,-18,2.93,Europe,0.227269966,0.033957785
44,United States,^GSPC,drop_rate,-0.288457404,-28.85%,3.03%,US,USA,840,38,-97,0.003,North America,0.288457404,0.030276279
19,Japan,^N225,drop_rate,-0.292635236,-29.26%,0.97%,JP,JPN,392,36,138,0.008,Asia,0.292635236,0.009659167
42,Turkey,XU100.IS,drop_rate,-0.285252861,-28.53%,-0.22%,TR,TUR,792,39,35,0.012,Asia,0.285252861,0.002240008
22,Malaysia,^KLSE,drop_rate,-0.204959102,-20.50%,-0.71%,MY,MYS,458,2.5,112.5,0.093,Asia,0.204959102,0.007111406
15,India,^BSESN,drop_rate,-0.315436186,-31.54%,-1.28%,IN,IND,356,20,77,0.001,Asia,0.315436186,0.012783721
37,Sweden,^OMX,drop_rate,-0.273486047,-27.35%,-3.13%,SE,SWE,752,62,15,0.099,Europe,0.273486047,0.031274366
30,Qatar,WIQAT.FGI,drop_rate,-0.098843283,-9.88%,-3.66%,QA,QAT,634,25.5,51.25,0.347,Asia,0.098843283,0.036576924
21,Kuwait,^DJIMKW,drop_rate,-0.27229453,-27.23%,-4.86%,KW,KWT,414,29.3375,47.6581,0.702,Asia,0.27229453,0.048566734
11,Germany,^GDAXI,drop_rate,-0.375558076,-37.56%,-5.52%,DE,DEU,276,51,9,0.012,Europe,0.375558076,0.055184599
4,Canada,^GSPTSE,drop_rate,-0.321047244,-32.10%,-8.20%,CA,CAN,124,60,-95,0.026,North America,0.321047244,0.082006536
31,Russia,IMOEX.ME,drop_rate,-0.269337372,-26.93%,-8.30%,RU,RUS,643,60,100,0.014,Europe,0.269337372,0.082993795
13,Hong Kong,^HSI,drop_rate,-0.215024603,-21.50%,-10.81%,HK,HKG,344,22.25,114.1667,0.019,Asia,0.215024603,0.108068454
34,South Africa,^JN0U.JO,drop_rate,-0.433707688,-43.37%,-11.02%,ZA,ZAF,710,-29,24,0.017,Africa,0.433707688,0.110185789
16,Indonesia,^JKSE,drop_rate,-0.30754485,-30.75%,-12.70%,ID,IDN,360,-5,120,0.007,Asia,0.30754485,0.126955376
1,Australia,^AXJO,drop_rate,-0.330557367,-33.06%,-13.51%,AU,AUS,36,-27,133,0.039,Oceania,0.330557367,0.135123014
8,Croatia,CRE.VI,drop_rate,-0.275934373,-27.59%,-14.03%,HR,HRV,191,45.1667,15.5,0.244,Europe,0.275934373,0.140302073
24,Morocco,^NQMAEUR,drop_rate,-0.244218907,-24.42%,-14.70%,MA,MAR,504,32,-5,0.027,Africa,0.244218907,0.147041843
3,Brazil,^BVSP,drop_rate,-0.413549838,-41.35%,-14.75%,BR,BRA,76,-10,-55,0.005,South America,0.413549838,0.147479359
23,Mexico,^MXX,drop_rate,-0.217317263,-21.73%,-15.31%,MX,MEX,484,23,-102,0.008,North America,0.217317263,0.153130324
38,Switzerland,^STOXX50E,drop_rate,-0.365079991,-36.51%,-15.31%,CH,CHE,756,47,8,0.116,Europe,0.365079991,0.153136442
17,Israel,^TA125.TA,drop_rate,-0.305932062,-30.59%,-15.51%,IL,ISR,376,31.5,34.75,0.116,Asia,0.305932062,0.155143256
10,France,^FCHI,drop_rate,-0.36911333,-36.91%,-19.14%,FR,FRA,250,46,2,0.046,Europe,0.36911333,0.191381787
2,Belgium,^BFX,drop_rate,-0.363166322,-36.32%,-19.89%,BE,BEL,56,50.8333,4,0.086,Europe,0.363166322,0.198851945
43,United Kingdom,^FTSE,drop_rate,-0.309159166,-30.92%,-20.41%,GB,GBR,826,54,-2,0.029,Europe,0.309159166,0.204090104
33,Singapore,^STI,drop_rate,-0.280893414,-28.09%,-20.48%,SG,SGP,702,1.3667,103.8,0.513,Asia,0.280893414,0.204785087
28,Philippines,WIPHL.FGI,drop_rate,-0.373257112,-37.33%,-20.61%,PH,PHL,608,13,122,0.009,Asia,0.373257112,0.206050721
29,Portugal,PSI20.LS,drop_rate,-0.338451208,-33.85%,-20.89%,PT,PRT,620,39.5,-8,0.196,Europe,0.338451208,0.208900172
41,Thailand,WITHA.FGI,drop_rate,-0.301661583,-30.17%,-21.54%,TH,THA,764,15,100,0.014,Asia,0.301661583,0.215361588
26,Pakistan,WIPAK.FGI,drop_rate,-0.339853301,-33.99%,-21.58%,PK,PAK,586,30,70,0.009,Asia,0.339853301,0.215823581
5,Chile,WICHL.FGI,drop_rate,-0.360447635,-36.04%,-21.61%,CL,CHL,152,-30,-71,0.052,South America,0.360447635,0.216055743
27,Peru,WIPER.FGI,drop_rate,-0.334876893,-33.49%,-24.10%,PE,PER,604,-10,-76,0.03,South America,0.334876893,0.240963388
18,Italy,WIITA.FGI,drop_rate,-0.384354744,-38.44%,-25.07%,IT,ITA,380,42.8333,12.8333,0.05,Europe,0.384354744,0.250736594
9,Czech Republic,WICZH.FGI,drop_rate,-0.335538584,-33.55%,-26.80%,CZ,CZE,203,49.75,15.5,0.28,Europe,0.335538584,0.267960217
36,Spain,WIESP.FGI,drop_rate,-0.358584034,-35.86%,-31.46%,ES,ESP,724,40,-4,0.021,Europe,0.358584034,0.314644719
12,Greece,WIGRC.FGI,drop_rate,-0.458874459,-45.89%,-40.48%,GR,GRC,300,39,22,0.096,Europe,0.458874459,0.404761905
7,Colombia,WICOL.FGI,drop_rate,-0.607534206,-60.75%,-45.27%,CO,COL,170,4,-72,0.02,South America,0.607534206,0.452718711
