Sector,Date,Price ,Open,High,Low,Country
Consumer Disc,6-Oct-20,161.19,160.65,161.77,159.83,EUROPE
Consumer Disc,19-Feb-20,179.94,179.94,180.31,178.21,EUROPE
Consumer Staples,6-Oct-20,261.09,263.00,263.28,260.79,EUROPE
Consumer Staples,19-Feb-20,293.17,290.51,293.35,290.32,EUROPE
Energy,6-Oct-20,72.14,71.13,73.16,70.71,EUROPE
Energy,19-Feb-20,132.94,132.06,133.44,131.96,EUROPE
Financials ,6-Oct-20,45.09,44.33,45.19,44.28,EUROPE
Financials ,19-Feb-20,67.01,66.80,67.21,66.80,EUROPE
Health Care,6-Oct-20,215.32,217.64,217.64,215.23,EUROPE
Health Care,19-Feb-20,238.06,236.82,238.92,236.82,EUROPE
Industrials,6-Oct-20,251.19,251.29,252.43,250.07,EUROPE
Industrials,19-Feb-20,280.58,278.39,280.58,278.39,EUROPE
IT,6-Oct-20,133.64,134.64,135.20,133.20,EUROPE
IT,19-Feb-20,138.75,136.76,138.82,136.76,EUROPE
Materials,6-Oct-20,265.27,267.19,268.28,264.61,EUROPE
Materials,19-Feb-20,278.29,276.25,278.78,276.25,EUROPE
Telecommunications,6-Oct-20,45.91,45.55,46.15,45.55,EUROPE
Telecommunications,19-Feb-20,59.92,59.48,60.04,59.48,EUROPE
Utilities,6-Oct-20,126.57,126.92,127.49,125.90,EUROPE
Utilities,19-Feb-20,148.26,146.89,148.99,146.52,EUROPE
